symbol,entrez_id,average_score,combined_score,num_screens_hit
APBB1IP,54518,6.43996666667,0.023418060606072728,1
EGLN2,112398,6.40803333333,0.02330193939392727,1
SHKBP1,92799,6.394,0.023250909090909093,1
SP4,6671,6.39,0.023236363636363635,1
UGGT1,56886,6.39,0.023236363636363635,1
NEU1,4758,6.3874,0.023226909090909093,1
MRO,83876,6.38455,0.04643309090909091,2
ALDH3A1,218,6.3815,0.04641090909090909,2
GPR179,440435,6.372,0.02317090909090909,1
LZTR1,8216,6.351,0.023094545454545454,1
SMPD4,55627,6.349,0.023087272727272727,1
PTGDR,5729,6.344,0.02306909090909091,1
CPNE6,9362,6.324,0.022996363636363634,1
CLDN11,5010,6.317,0.02297090909090909,1
TMEM108,66000,6.316,0.022967272727272725,1
REP15,387849,6.31383333333,0.022959393939381817,1
PCDHA13,56136,6.309,0.02294181818181818,1
C14orf93,60686,6.3017,0.02291527272727273,1
DOCK6,57572,6.2917,0.04575781818181818,2
CALM2,805,6.28,0.022836363636363637,1
TMEM35A,59353,6.27916666667,0.022833333333345456,1
RGS17,26575,6.278,0.022829090909090907,1
WDPCP,51057,6.27145,0.022805272727272726,1
SNX27,81609,6.2641,0.022778545454545454,1
MAG,4099,6.248,0.02272,1
LNX1,84708,6.248,0.02272,1
PTGDR2,11251,6.239,0.022687272727272726,1
METAP1D,254042,6.22483333333,0.022635757575745454,1
BIN1,274,6.21,0.022581818181818182,1
FAM221A,340277,6.204,0.02256,1
TMEM94,9772,6.20276666667,0.02255551515152727,1
NTRK1,4914,6.2,0.022545454545454546,1
CNGB1,1258,6.196,0.02253090909090909,1
ATXN7,6314,6.189,0.022505454545454547,1
OTOP2,92736,6.185,0.02249090909090909,1
PRR34,55267,6.182,0.02248,1
MOGAT3,346606,6.179,0.02246909090909091,1
CAPN1,823,6.177,0.02246181818181818,1
COPZ2,51226,6.17,0.022436363636363636,1
CANX,821,6.16266666667,0.02240969696970909,1
DNAJC16,23341,6.16266666667,0.02240969696970909,1
LAMA5,3911,6.162,0.022407272727272727,1
BLID,414899,6.156,0.022385454545454545,1
ZNF646,9726,6.155,0.022381818181818183,1
CSRNP1,64651,6.1519,0.022370545454545455,1
TXLNG,55787,6.1519,0.022370545454545455,1
ARMCX1,51309,6.15,0.022363636363636363,1
TNFSF4,7292,6.139,0.022323636363636365,1
DEDD,9191,6.12995,0.02229072727272727,1
TMEM65,157378,6.126,0.02227636363636364,1
GABPB2,126626,6.117,0.022243636363636365,1
VTI1A,143187,6.1,0.02218181818181818,1
JMJD1C,221037,6.078,0.022101818181818184,1
TEX22,647310,6.045,0.021981818181818182,1
TXNRD3NB,645840,6.04,0.021963636363636362,1
OR14A16,284532,6.04,0.021963636363636362,1
UBXN11,91544,6.04,0.021963636363636362,1
SPATA45,149643,6.038,0.02195636363636364,1
UCKL1,54963,6.02765,0.021918727272727274,1
GPR84,53831,6.025,0.02190909090909091,1
USF2,7392,6.022,0.02189818181818182,1
TMC8,147138,6.011,0.02185818181818182,1
PUS10,150962,5.9974,0.02180872727272727,1
RMDN3,55177,5.982,0.021752727272727274,1
LRRC24,441381,5.98,0.021745454545454547,1
GP6,51206,5.98,0.021745454545454547,1
SGK2,10110,5.972,0.021716363636363638,1
KAT6B,23522,5.9657,0.021693454545454547,1
SEC14L3,266629,5.961,0.021676363636363636,1
SULT1C4,27233,5.96,0.021672727272727274,1
PSORS1C1,170679,5.95633333333,0.021659393939381818,1
CEP68,23177,5.95633333333,0.021659393939381818,1
C1QTNF9B,387911,5.944,0.021614545454545456,1
RSPH14,27156,5.942,0.02160727272727273,1
OR4D11,219986,5.93,0.02156363636363636,1
OR9Q2,219957,5.93,0.02156363636363636,1
C9orf135,138255,5.902,0.021461818181818183,1
CNOT10,25904,5.895,0.021436363636363635,1
ALG1L,200810,5.88473051556,0.02139902005658182,1
RFXANK,8625,5.87223333333,0.021353575757563636,1
SYT10,341359,5.8631,0.021320363636363637,1
TRAF3IP2,10758,5.8631,0.021320363636363637,1
ARL14EP,120534,5.84,0.021236363636363637,1
CFHR4,10877,5.838,0.02122909090909091,1
CYP21A2,1589,5.825,0.021181818181818184,1
HCN2,610,5.824,0.021178181818181818,1
NKAIN1,79570,5.814,0.021141818181818182,1
SGPP1,81537,5.8074,0.021117818181818182,1
CTAGE4,100128553,5.805,0.021109090909090907,1
HIVEP2,3097,5.79776666667,0.0210827878788,1
OR6C68,403284,5.791,0.02105818181818182,1
PDXK,8566,5.76896666667,0.020978060606072726,1
AMFR,267,5.759,0.020941818181818183,1
ZIM2,23619,5.741,0.020876363636363634,1
LTBP4,8425,5.739,0.02086909090909091,1
CELF3,11189,5.733,0.020847272727272725,1
GJB2,2706,5.732,0.020843636363636363,1
SYNGAP1,8831,5.725,0.020818181818181816,1
PEX19,5824,5.714,0.02077818181818182,1
RGPD5,84220,5.705,0.020745454545454546,1
HIF1AN,55662,5.7,0.02072727272727273,1
SUPT7L,9913,5.69895,0.04144690909090909,2
UPK1A,11045,5.69266666667,0.02070060606061818,1
ASPG,374569,5.688,0.020683636363636362,1
ACTG2,72,5.67426666667,0.02063369696970909,1
RAB3A,5864,5.67,0.020618181818181817,1
ORMDL2,29095,5.662,0.020589090909090908,1
BTBD8,284697,5.658,0.020574545454545456,1
OR4Q3,441669,5.637,0.020498181818181818,1
EMC10,284361,5.62,0.020436363636363638,1
CEBPD,1052,5.618,0.02042909090909091,1
TMEM263,90488,5.6,0.02036363636363636,1
PLCB3,5331,5.59043333333,0.020328848484836362,1
ADIPOR2,79602,5.59043333333,0.020328848484836362,1
RFPL2,10739,5.571,0.020258181818181818,1
LRP12,29967,5.565,0.02023636363636364,1
CIDEA,1149,5.56423333333,0.020233575757563637,1
F3,2152,5.533,0.020120000000000002,1
RNF224,643596,5.524,0.020087272727272728,1
COMMD4,54939,5.523,0.040167272727272725,2
DIP2B,57609,5.523,0.020083636363636363,1
NBPF6,653149,5.523,0.020083636363636363,1
RUBCN,9711,5.5,0.02,1
BLOC1S3,388552,5.489,0.01996,1
SLC25A52,147407,5.47,0.01989090909090909,1
KRTAP10-1,386677,5.469,0.01988727272727273,1
STAT6,6778,5.46765,0.03976472727272727,2
TMEM164,84187,5.45083333333,0.019821212121200003,1
FETUB,26998,5.447,0.01980727272727273,1
ANKRD7,56311,5.44086666667,0.01978496969698182,1
SLC35C2,51006,5.4383,0.019775636363636363,1
FRMPD2,143162,5.4383,0.019775636363636363,1
SLC6A7,6534,5.435,0.01976363636363636,1
MXI1,4601,5.43,0.019745454545454545,1
SNX14,57231,5.42676666667,0.01973369696970909,1
DEF6,50619,5.40523333333,0.01965539393938182,1
WIPF3,644150,5.39406666667,0.0196147878788,1
FBXO48,554251,5.387,0.019589090909090907,1
GPC5,2262,5.382,0.01957090909090909,1
RTP3,83597,5.38,0.019563636363636363,1
TMEM55B,90809,5.3782,0.01955709090909091,1
PLGRKT,55848,5.3782,0.01955709090909091,1
OR7A5,26659,5.365,0.01950909090909091,1
LIN28A,79727,5.363,0.019501818181818183,1
MYO1A,4640,5.36023333333,0.019491757575745453,1
AEN,64782,5.35,0.019454545454545454,1
